State / Union Territory,City / town,"SO2
Annual
Average","NO2
Annual
Average","PM10
Annual
Average","PM2.5
Annual
Average"
Andhra Pradesh,Amaravati,12,10,54,30
Andhra Pradesh,Anatapur,6,19,61,32
Andhra Pradesh,Chittor,5,13,55,31
Andhra Pradesh,Eluru,5,18,67,31
Andhra Pradesh,Guntur,4,17,60,23
Andhra Pradesh,Kadapa,6,16,56,28
Andhra Pradesh,Kakinada,8,15,69,24
Andhra Pradesh,Kurnool,6,18,64,34
Andhra Pradesh,Nellore,4,17,55,22
Andhra Pradesh,Ongole,5,18,50,17
Andhra Pradesh,"Rajahmundry/Rajamahend
ravaram",6,13,66,30
Andhra Pradesh,Srikakulam,9,20,72,26
Andhra Pradesh,Tirupati,6,22,58,31
Andhra Pradesh,Vijayawada,4,18,71,36
Andhra Pradesh,Visakhapatnam,15,33,108,43
Andhra Pradesh,Vizianagaram,9,19,70,25
Arunachal Pradesh,Itanagar,2,11,58,NM
Arunachal Pradesh,Naharlagun,28,12,57,23
Assam,Bongaigaon,5,12,56,30
Assam,Brynihat,8,16,257,108
Assam,Daranga,7,15,41,NM
Assam,Dibrugarh,6,11,44,22
Assam,Golaghat,6,11,43,18
Assam,Guwahati,12,8,101,53
Assam,Magherita,5,11,39,17
Assam,Nagaon,7,15,83,38
Assam,Nalbari,7,14,95,47
Assam,North Lakhimpur,7,15,60,27
Assam,Silcher,7,11,45,20
Assam,Sivasagar,5,10,38,19
Assam,Tezpur,6,15,57,24
Assam,Tinsukia,5,11,40,17
Bihar,Araria,8,46,139,77
Bihar,Arrah,6,65,162,59
Bihar,Aurangabad,9,25,187,74
Bihar,Begusarai,12,16,188,114
Bihar,Bettiah,3,24,178,95
Bihar,Bhagalpur,15,54,170,82
Bihar,Bihar Sharif,5,43,209,86
Bihar,Buxar,4,31,213,89
Bihar,Chhapra,6,37,216,98
Bihar,Darbhanga,10,20,202,92
Bihar,Gaya,8,38,149,71
Bihar,Hajipur,5,24,138,67
Bihar,Katihar,8,32,227,103
Bihar,Kishanganj,6,36,142,75
Bihar,Manguraha,5,26,88,38
Bihar,Motihari,7,31,153,79
Bihar,Munger,15,29,201,90
Bihar,Muzaffarpur,9,24,175,89
Bihar,Patna,7,32,175,90
Bihar,Purnia,5,45,167,100
Bihar,Rajgir,6,35,132,70
Bihar,Saharsa,4,43,250,103
Bihar,Samastipur,5,40,220,88
Bihar,Sasaram,13,53,142,74
Bihar,Siwan,8,56,198,112
Chandigarh (UT),Chandigarh,7,27,113,57
Chattisgarh,Bilaspur,8,14,61,27
Chattisgarh,Durg Bhillainagar,10,13,61,26
Chattisgarh,Korba,8,18,61,-
Chattisgarh,Raigarh,11,13,73,32
Chattisgarh,Raipur,14,20,72,30
"Dadara & Nagar Haveli
and Daman & Diu (UT)",Baldevi,15,20,73,29
"Dadara & Nagar Haveli
and Daman & Diu (UT)",Daman,19,24,76,31
"Dadara & Nagar Haveli
and Daman & Diu (UT)",Patlara (Daman),18,23,76,30
"Dadara & Nagar Haveli
and Daman & Diu (UT)",Silvasa,17,22,77,30
Delhi (UT),Delhi,9,41,207,98
Goa,Amona,7,12,58,27
Goa,Assanora,7,13,57,27
Goa,Bicholim,7,13,57,27
Goa,Codli,7,13,58,27
Goa,Cuncolim,7,13,68,31
Goa,Honda,7,13,58,27
Goa,Kundaim,7,13,59,28
Goa,Mapusa,2,15,43,-
Goa,Margao,7,13,57,27
Goa,Panaji,2,16,62,-
Goa,Ponda,7,13,59,28
Goa,Sanguem,7,13,57,27
Goa,Tilamol,7,13,58,27
Goa,Tuem,7,13,57,27
Goa,Usgao Pale,7,13,60,28
Goa,Vasco,2,15,47,26
Gujarat,Ahmedabad,22,33,112,41
Gujarat,Ankleshwar,38,32,114,59
Gujarat,Gandhinagar,16,13,89,47
Gujarat,Jamnagar,14,19,109,27
Gujarat,Nandesari,10,4,55,45
Gujarat,Rajkot,14,19,108,28
Gujarat,Surat,19,23,113,49
Gujarat,Vadodara,14,19,110,28
Gujarat,Vapi,37,9,119,69
Gujarat,Vatva,8,42,113,51
Haryana,Ambala,7,24,136,68
Haryana,Bahadurgarh,11,26,163,83
Haryana,Ballabgarh,20,14,156,68
Haryana,Bhiwani,15,21,117,74
Haryana,Charkhi Dadri,7,17,157,77
Haryana,Dharuhera,10,19,216,87
Haryana,Faridabad,15,20,211,92
Haryana,Fatehabad,10,22,150,73
Haryana,Gurgaon,7,24,197,90
Haryana,Hissar,8,40,153,79
Haryana,Jind,8,15,132,78
Haryana,Kaithal,13,14,142,67
Haryana,Karnal,11,12,113,55
Haryana,Kurukshetra,11,31,132,74
Haryana,Mandikhera,13,10,87,28
Haryana,Manesar,13,21,161,91
Haryana,Narnaul,5,26,114,55
Haryana,Palwal,5,14,116,35
Haryana,Panchukula Urban Estate,16,23,NM,58
Haryana,Panipat,23,19,167,50
Haryana,Rohtak,15,45,NM,82
Haryana,Sirsa,19,28,130,50
Haryana,Sonepat,12,19,184,46
Haryana,Yamuna Nagar,11,14,168,76
Himachal Pradesh,Baddi,16,17,126,46
Himachal Pradesh,Damtal,2,5,67,33
Himachal Pradesh,Dharamshala,2,5,47,22
Himachal Pradesh,Kala Amb,4,12,84,42
Himachal Pradesh,Manali,2,7,43,14
Himachal Pradesh,Nalagarh,2,13,80,25
Himachal Pradesh,Parwanoo,2,5,44,12
Himachal Pradesh,Poanta Sahib,4,11,101,47
Himachal Pradesh,Shimla,2,8,44,20
Himachal Pradesh,Sunder Nagar,2,5,47,22
Himachal Pradesh,Una,3,8,55,27
Jammu & Kashmir (UT),Doda (J),NM,NM,-,23
Jammu & Kashmir (UT),Jammu,3,21,171,32
Jammu & Kashmir (UT),Samba (J),NM,NM,124,35
Jammu & Kashmir (UT),Srinagar (K),22,17,83,27
Jammu & Kashmir (UT),Udhampur (J),NM,NM,179,-
Jharkhand,Barajamda,17,22,78,NM
Jharkhand,Dhanbad,13,35,207,NM
Jharkhand,Jamshedpur,37,45,129,NM
Jharkhand,Jharia,14,37,281,NM
Jharkhand,Jorapokhar,13,14,126,NM
Jharkhand,Ranchi,17,36,106,NM
Jharkhand,Saraikela,37,45,134,NM
Jharkhand,Sindri,13,22,158,NM
Karnataka,Bagalkote,5,9,47,24
Karnataka,Bangalore,6,19,68,32
Karnataka,Belgaum,21,19,88,37
Karnataka,Bidar,38,5,84,-
Karnataka,Bijapur / Vijayapura,5,10,50,18
Karnataka,Chamarajanagar,3,17,40,17
Karnataka,Chikkaballapur,9,22,67,33
Karnataka,Chikkamagaluru,5,17,46,20
Karnataka,Chitradurga,3,6,41,12
Karnataka,Devanagere,4,16,66,26
Karnataka,Gadag,15,13,53,28
Karnataka,Gulbarga / Kalaburgi,17,20,92,38
Karnataka,Hassan,17,25,68,27
Karnataka,Haveri,13,8,51,25
Karnataka,Hubli Dharwad,8,15,72,29
Karnataka,Kolar,59,13,97,43
Karnataka,Koppal,20,13,55,23
Karnataka,Madikeri,16,4,36,19
Karnataka,Mandya,2,14,39,-
Karnataka,Mangalore,8,27,58,22
Karnataka,Mysore,3,14,47,20
Karnataka,Raichur,16,24,91,31
Karnataka,Ramanagara,24,19,58,28
Karnataka,Shimaga / Shivamogga,5,23,52,23
Karnataka,Tumkuru,2,14,59,34
Karnataka,Udupi,25,16,21,NM
Karnataka,Yadgir,19,12,62,30
Kerala,Alappuzha,2,5,50,NM
Kerala,Eloor,12,18,62,31
Kerala,Ernakulam,3,26,34,22
Kerala,Kannur,2,14,63,36
Kerala,Kochi,6,17,80,58
Kerala,Kollam,4,16,72,33
Kerala,Kottayam,2,10,44,NM
Kerala,Kozhikode,5,14,59,33
Kerala,Mallappuram,2,15,31,25
Kerala,Palakkad,2,5,62,24
Kerala,Pathanamthitta,2,5,33,NM
Kerala,Thiruvalla,2,5,60,NM
Kerala,Thiruvanantapuram,5,12,43,27
Kerala,Thrissur,3,18,54,31
Kerala,Wayanad,2,5,40,22
Madhya Pradesh,Amlai,11,18,71,33
Madhya Pradesh,Bhopal,16,22,126,52
Madhya Pradesh,Chindwara,5,17,78,35
Madhya Pradesh,Damoh,NM,5,56,30
Madhya Pradesh,Dewas,13,23,102,38
Madhya Pradesh,Gwalior,20,27,132,64
Madhya Pradesh,Indore,14,49,111,42
Madhya Pradesh,Jabalpur,10,30,128,46
Madhya Pradesh,Katni,17,27,151,58
Madhya Pradesh,Maihar,9,10,37,17
Madhya Pradesh,Mandideep,37,38,108,39
Madhya Pradesh,Nagda,7,5,45,23
Madhya Pradesh,Pithampur,15,14,106,44
Madhya Pradesh,Ratlam,12,27,98,40
Madhya Pradesh,Rewa,6,21,56,25
Madhya Pradesh,Sagar,8,19,78,34
Madhya Pradesh,Satna,6,13,62,21
Madhya Pradesh,Singrauli,27,71,184,72
Madhya Pradesh,Ujjain,8,16,118,46
Maharashtra,Akola,14,14,63,NM
Maharashtra,Ambernath,21,47,78,NM
Maharashtra,Amravati,13,15,67,NM
Maharashtra,Aurangabad,15,26,125,58
Maharashtra,Badlapur,22,57,125,NM
Maharashtra,Bhiwandi,29,41,61,NM
Maharashtra,Chandrapur,14,27,123,48
Maharashtra,Dombivali / Kalyan,21,28,128,54
Maharashtra,Jalgaon,12,20,63,NM
Maharashtra,Jalna,10,45,93,NM
Maharashtra,Kolhapur,14,25,80,NM
Maharashtra,Latur,8,16,55,NM
Maharashtra,Mumbai,16,29,114,49
Maharashtra,Nagpur,8,22,85,45
Maharashtra,Nanded,22,42,79,NM
Maharashtra,Nashik,5,27,61,36
Maharashtra,Navi Mumbai,21,44,100,50
Maharashtra,Pimpri Chinchwad,17,42,84,NM
Maharashtra,Pune,47,64,110,73
Maharashtra,Roha,9,24,74,NM
Maharashtra,Sangli,9,35,58,NM
Maharashtra,Solapur,18,24,74,40
Maharashtra,Tarapur,22,56,89,NM
Maharashtra,Thane,21,42,116,58
Maharashtra,Ulhas Nagar,20,53,79,NM
Maharashtra,Vasai virar,22,19,156,40
Manipur,Imphal,51,8,37,12
Meghalaya,Byraihat,21,19,152,60
Meghalaya,Dawki,6,12,39,21
Meghalaya,Khlihriat,5,10,48,25
Meghalaya,Nongstoin,5,11,38,21
Meghalaya,Shillong,11,13,34,20
Meghalaya,Tura,3,7,36,17
Meghalaya,Umaim,6,8,96,31
Mizoram,Aizwal,9,4,42,10
Mizoram,Champhai,2,5,22,11
Mizoram,Kolasib,2,5,20,9
Mizoram,Lawngtlai,2,5,27,NM
Mizoram,Lunglei,2,5,19,NM
Mizoram,Mamit,2,5,25,NM
Mizoram,Saiha,2,5,27,NM
Mizoram,Serchhip,2,5,20,NM
Nagaland,Dimapur,2,8,92,NM
Nagaland,Kohima,41,3,70,27
Odisha,Angul,10,27,100,36
Odisha,Balasore,4,11,79,49
Odisha,Berhampur,5,21,66,29
Odisha,Bhubaneshwar,2,17,108,38
Odisha,Bonaigarh,11,14,107,41
Odisha,Brajrajnagar,24,19,73,34
Odisha,Cuttack,4,19,103,35
Odisha,Jharsuguda,9,14,111,55
Odisha,Kalinga Nagar,6,14,102,59
Odisha,Konark,2,13,68,-
Odisha,Paradeep,14,9,91,39
Odisha,Puri,2,14,92,-
Odisha,Rajgangpur,11,12,118,29
Odisha,Rayagada,5,16,72,-
Odisha,Rourkela,11,13,110,42
Odisha,Sambalpur,7,25,102,36
Odisha,Talcher,24,28,80,39
Pondicherry (UT),Karaikal,2,5,42,NM
Pondicherry (UT),Pondicherry,9,11,51,25
Punjab,Aligarh (Jagraon),7,17,96,NM
Punjab,Amritsar,14,37,117,51
Punjab,Aspal Khurd (Tapa),6,16,94,NM
Punjab,Batala,7,16,72,NM
Punjab,Bhatinda,11,21,119,38
Punjab,Binjon (Garshankar),7,16,74,NM
Punjab,Bishanpura (Payal),8,19,96,NM
Punjab,Changal (Sangrur),5,16,92,NM
Punjab,Dera Baba Nanak,6,13,59,NM
Punjab,Dera Bassi,8,19,105,NM
Punjab,Fatehpur (Samana),5,15,93,NM
Punjab,Mandi Gobindgarh,11,23,132,72
Punjab,Gurdaspur,7,16,75,-
Punjab,Guru Ki Dhab (Kotkapura),5,15,87,NM
Punjab,Jaito Sarja (Batala),8,31,59,NM
Punjab,Jalandhar,13,23,126,46
Punjab,Khanna,13,26,114,47
Punjab,Kharaori (Sirhind),7,18,96,NM
Punjab,Kotladoom (Ajnala),7,17,126,NM
Punjab,Lakho ke Behram (Ferozpur),6,16,92,NM
Punjab,Ludhiana,11,23,172,59
Punjab,Mrar Kalan (Muktsar),5,16,87,NM
Punjab,Mukandpur (Nawashahar),7,17,79,NM
Punjab,Mureedke (Batala),9,29,67,NM
Punjab,Naudhrani (Malerkotla),6,16,93,NM
Punjab,Naya Nangal,6,14,65,NM
Punjab,Pathankot,7,16,76,NM
Punjab,Patiala,6,19,105,48
Punjab,Peer Mohammad (Jalalabad),5,16,88,NM
Punjab,Qila Bharian (Sangrur),5,15,89,NM
Punjab,Rakhra (Patiala),5,16,90,NM
Punjab,Rohila (Samrala),9,19,129,NM
Punjab,Rupnagar,8,11,119,45
Punjab,Sirhind,7,20,97,-
Punjab,Tirathpur (Amritsar I),7,17,126,NM
Rajasthan,Ajmer,18,26,113,51
Rajasthan,Alwar,13,25,118,41
Rajasthan,Bharatpur,7,25,160,NM
Rajasthan,Bhiwadi,18,58,210,94
Rajasthan,Chittorgargh,8,23,121,NM
Rajasthan,Jaipur,11,39,143,57
Rajasthan,Jodhpur,11,32,155,69
Rajasthan,Kota,10,27,126,60
Rajasthan,Pali,9,21,105,58
Rajasthan,Udaipur,8,28,130,54
Sikkim,Chungthang,4,5,25,NM
Sikkim,Gangtok,9,5,44,13
Sikkim,Mangan,3,5,25,NM
Sikkim,Namchi,4,5,31,NM
Sikkim,Pelling,5,5,31,NM
Sikkim,Rangpo,5,9,64,NM
Sikkim,Ravangla,4,5,20,-
Sikkim,Singtam,7,9,60,NM
Tamilnadu,Ariyalura,-,-,53,-
Tamilnadu,Chengalpattu,49,27,80,41
Tamilnadu,Chennai,11,16,61,27
Tamilnadu,Coimbatore,14,16,50,27
Tamilnadu,Cuddalore,16,18,45,17
Tamilnadu,Dharmapuri,9,23,44,23
Tamilnadu,Dindigul,34,45,44,27
Tamilnadu,Gummidipoondi,8,7,34,20
Tamilnadu,Hosur,26,12,66,35
Tamilnadu,Kanchipuram,44,-,54,-
Tamilnadu,Madurai,17,20,67,28
Tamilnadu,Mettur,9,23,43,21
Tamilnadu,Nagercoil,8,14,42,12
Tamilnadu,Ooty,39,10,46,21
Tamilnadu,Perambalur,10,13,34,14
Tamilnadu,Ramanathapuram,10,3,46,20
Tamilnadu,Salem,24,14,48,25
Tamilnadu,Sivagangai,12,15,42,24
Tamilnadu,Theni,13,19,54,25
Tamilnadu,Tirupur,17,19,136,42
Tamilnadu,Tiruvannamalai,5,14,52,17
Tamilnadu,Tiruvarur,14,16,41,15
Tamilnadu,Trichy,11,15,46,20
Tamilnadu,Tuticorin,6,12,56,17
Tamilnadu,Vellore,21,6,69,30
Tamilnadu,Villupuram,14,17,42,16
Telangana,Adilabad,9,26,58,-
Telangana,Hyderabad,7,22,88,39
Telangana,Karimnagar,6,29,83,40
Telangana,Khammam,7,41,74,-
Telangana,Kothur,8,42,93,-
Telangana,Nalgonda,11,29,71,30
Telangana,Nizamabad,7,25,56,30
Telangana,Patencheru,9,31,83,37
Telangana,Ramagundum,7,31,83,51
Telangana,Sangareddy,9,32,88,48
Telangana,Warangal,6,22,62,-
Tripura,Agartala,31,11,94,53
Uttar Pradesh,Agra,14,21,129,66
Uttar Pradesh,Aligarh,16,23,165,NM
Uttar Pradesh,Allahabad,25,21,124,45
Uttar Pradesh,Anpara,18,26,169,NM
Uttar Pradesh,Ayodhya,6,20,194,NM
Uttar Pradesh,Baghpat,21,36,145,74
Uttar Pradesh,Bareilly,12,26,124,48
Uttar Pradesh,Bulandshahr,14,26,183,73
Uttar Pradesh,Firozabad,14,29,132,51
Uttar Pradesh,Gajroula,23,26,204,NM
Uttar Pradesh,Ghaziabad,16,42,211,87
Uttar Pradesh,Gorakhpur,30,28,97,38
Uttar Pradesh,Greater Noida,17,35,219,80
Uttar Pradesh,Hapur,12,31,164,74
Uttar Pradesh,Hatras,17,23,166,NM
Uttar Pradesh,Jhansi,15,19,129,47
Uttar Pradesh,Kanpur,11,33,142,59
Uttar Pradesh,Khurja,20,24,156,62
Uttar Pradesh,Lucknow,10,31,148,63
Uttar Pradesh,Mathura,12,27,172,NM
Uttar Pradesh,Meerut,15,41,168,78
Uttar Pradesh,Moradabad,15,16,124,53
Uttar Pradesh,Muzaffarnagar,15,23,180,93
Uttar Pradesh,Noida,17,40,210,80
Uttar Pradesh,Raibareli,7,12,109,NM
Uttar Pradesh,Saharanpur,12,21,169,NM
Uttar Pradesh,Unnao,7,26,122,NM
Uttar Pradesh,Varanasi,20,28,103,38
Uttar Pradesh,Vrindavan,32,12,104,41
Uttarakhand,Dehradun,11,14,118,59
